#: table_doi: 10.17182/hepdata.155340.v1/t1
#: name: Table III: Cross section in energy range 0.62-1.05 GeV
#: description: Energy bin range ($\sqrt{s'}$), number of events after unfolding ($N_{\mathrm{unf}}$), corrected efficiency ($\varepsilon$), and cross section ($\sigma_{3\pi}$) for $e^{+}e^{-} \to \pi^{+} \pi^{-} \pi^{0}$ in energy range 0.62--1.05~GeV. The two uncertainties in the cross section are the statistical and systematic contributions. The statistical uncertainties for the unfolding and cross section are square roots of the diagonal components of the unfolding covariance matrix. The image shows Figure 23 in the PRD paper, and the points with error bars indicate the cross section in the table.
#: data_file: table_iii:_cross_section_in_energy_range_0.62-1.05_gev.yaml
#: keyword reactions: E+E- --> PI+ PI- PI0
#: keyword phrases: Exclusive | Cross section | E+ E- Scattering
#: keyword cmenergies: 0.62-1.05
#: keyword observables: SIG
$\sqrt{s'}$ [GeV],$\sqrt{s'}$ [GeV] LOW,$\sqrt{s'}$ [GeV] HIGH,The number of events after unfolding ($N_{\mathrm{unf}}$),Statistical uncertainty +,Statistical uncertainty -
0.63,0.62,0.64,2,3,-3
0.65,0.64,0.66,5,4,-4
0.67,0.66,0.68,16,5,-5
0.69,0.68,0.7,28,8,-8
0.7012499999999999,0.7,0.7025,-2,2,-2
0.70375,0.7025,0.705,3,2,-2
0.70625,0.705,0.7075,6,2,-2
0.70875,0.7075,0.71,11,4,-4
0.7112499999999999,0.71,0.7125,9,4,-4
0.71375,0.7125,0.715,9,6,-6
0.71625,0.715,0.7175,32,8,-8
0.71875,0.7175,0.72,9,3,-3
0.72125,0.72,0.7225,9,3,-3
0.72375,0.7225,0.725,11,2,-2
0.7262500000000001,0.725,0.7275,14,4,-4
0.72875,0.7275,0.73,14,3,-3
0.73125,0.73,0.7325,18,5,-5
0.73375,0.7325,0.735,39,8,-8
0.7362500000000001,0.735,0.7375,50,9,-9
0.73875,0.7375,0.74,39,10,-10
0.74125,0.74,0.7425,33,9,-9
0.74375,0.7425,0.745,62,9,-9
0.7462500000000001,0.745,0.7475,47,9,-9
0.74875,0.7475,0.75,66,12,-12
0.75125,0.75,0.7525,70,10,-10
0.7537499999999999,0.7525,0.755,97,14,-14
0.75625,0.755,0.7575,134,18,-18
0.75875,0.7575,0.76,166,17,-17
0.76125,0.76,0.7625,159,13,-13
0.7637499999999999,0.7625,0.765,220,19,-19
0.76625,0.765,0.7675,265,17,-17
0.76875,0.7675,0.77,389,21,-21
0.77125,0.77,0.7725,603,29,-29
0.7737499999999999,0.7725,0.775,959,36,-36
0.77625,0.775,0.7775,1588,41,-41
0.77875,0.7775,0.78,3110,64,-64
0.78125,0.78,0.7825,5124,43,-43
0.78375,0.7825,0.785,5342,63,-63
0.78625,0.785,0.7875,3365,63,-63
