  0.7400  0.7450 11.494  0.493  0.147  0.038                                                     
  0.7450  0.7500 16.521  0.557  0.212  0.075                                                     
  0.7500  0.7525 20.723  0.583  0.266  0.052                                                     
  0.7525  0.7550 25.304  0.624  0.326  0.084                                                     
  0.7550  0.7575 31.395  0.669  0.403  0.130                                                     
  0.7575  0.7600 40.016  0.765  0.513  0.092                                                     
  0.7600  0.7625 50.575  0.837  0.648  0.534                                                     
  0.7625  0.7650 66.011  0.927  0.847  0.641                                                     
  0.7650  0.7675 89.749  0.983  1.150  0.180                                                     
  0.7675  0.7700 124.780  1.318  1.599  0.215                                                    
  0.7700  0.7725 183.933  1.649  2.358  0.271                                                    
  0.7725  0.7750 292.772  2.168  3.753  1.548                                                    
  0.7750  0.7775 495.904  3.061  6.358  0.477                                                    
  0.7775  0.7800 897.772  4.793  11.509  0.583                                                   
  0.7800  0.7825 1430.557  7.081  18.334  4.882                                                  
  0.7825  0.7850 1431.103  7.153  18.342  3.081                                                  
  0.7850  0.7875 919.240  5.303  11.787  1.374                                                   
  0.7875  0.7900 539.134  3.262  6.910  0.343                                                    
  0.7900  0.7925 336.835  2.387  4.318  1.373                                                    
  0.7925  0.7950 225.520  1.780  2.891  0.405                                                    
  0.7950  0.7975 163.164  1.295  2.092  0.525                                                    
  0.7975  0.8000 124.207  1.286  1.592  0.561                                                    
  0.8000  0.8025 97.049  1.094  1.246  0.199                                                     
  0.8025  0.8050 78.118  0.993  1.002  0.345                                                     
  0.8050  0.8075 65.131  1.029  0.835  0.191                                                     
  0.8075  0.8100 55.006  0.894  0.706  0.234                                                     
  0.8100  0.8125 48.036  0.870  0.618  0.152                                                     
  0.8125  0.8150 41.283  0.821  0.531  0.115                                                     
  0.8150  0.8175 37.556  0.783  0.483  0.235                                                     
  0.8175  0.8200 33.619  0.725  0.433  0.085                                                     
  0.8200  0.8250 28.538  0.733  0.366  0.070                                                     
  0.8250  0.8300 24.364  0.658  0.313  0.055                                                     
  0.8300  0.8350 21.055  0.585  0.271  0.050                                                     
  0.8350  0.8400 18.979  0.651  0.244  0.053                                                     
  0.8400  0.8450 17.583  0.646  0.226  0.104                                                     
  0.8450  0.8500 16.361  0.653  0.211  0.116
